Team,wins,losses,win_pct,games_back,pts_scored,pts_allowed,srs,Conference,games_played,point_diff,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,TS%
Detroit Pistons,45,14,0.763,0.0,117.3,109.4,7.39,East,59,7.8999999999999915,7.92,-0.52,7.39,116.8,108.9,7.9,99.9,0.575
Boston Celtics,41,20,0.672,5.0,114.9,107.0,7.02,East,61,7.900000000000006,7.92,-0.9,7.02,120.9,112.6,8.3,94.7,0.58
New York Knicks,39,22,0.639,7.0,117.2,111.1,5.81,East,61,6.1000000000000085,6.08,-0.28,5.81,119.4,113.2,6.2,97.7,0.586
Cleveland Cavaliers,38,24,0.613,8.5,119.2,115.0,4.21,East,62,4.200000000000003,4.24,-0.03,4.21,118.2,114.0,4.2,100.3,0.589
Toronto Raptors,35,25,0.583,10.5,114.0,112.0,1.77,East,60,2.0,1.97,-0.2,1.77,114.9,112.9,2.0,98.5,0.573
Philadelphia 76ers,33,27,0.55,12.5,116.4,115.9,0.41,East,60,0.5,0.47,-0.06,0.41,115.9,115.5,0.4,99.0,0.574
Orlando Magic,31,28,0.525,14.0,114.6,114.4,0.55,East,59,0.19999999999998863,0.14,0.42,0.55,114.2,114.1,0.1,99.4,0.571
Miami Heat,32,29,0.525,14.0,119.8,117.0,3.06,East,61,2.799999999999997,2.85,0.21,3.06,115.1,112.4,2.7,103.9,0.572
Atlanta Hawks,31,31,0.5,15.5,117.4,117.4,0.08,East,62,0.0,0.02,0.06,0.08,114.5,114.5,0.0,102.2,0.579
Charlotte Hornets,30,31,0.492,16.0,116.0,113.0,2.43,East,61,3.0,3.02,-0.58,2.43,118.6,115.5,3.1,97.4,0.588
Milwaukee Bucks,26,34,0.433,19.5,111.3,115.6,-4.0,East,60,-4.299999999999997,-4.22,0.22,-4.0,113.3,117.6,-4.3,97.8,0.589
Chicago Bulls,25,36,0.41,21.0,115.8,120.1,-4.14,East,61,-4.299999999999997,-4.26,0.12,-4.14,113.5,117.7,-4.2,101.7,0.584
Washington Wizards,16,44,0.267,29.5,112.3,123.0,-10.57,East,60,-10.700000000000003,-10.73,0.16,-10.57,110.7,121.3,-10.6,101.1,0.562
Brooklyn Nets,15,45,0.25,30.5,107.0,115.4,-7.97,East,60,-8.400000000000006,-8.48,0.52,-7.97,110.2,119.0,-8.8,96.5,0.563
Indiana Pacers,15,46,0.246,31.0,111.4,119.6,-7.83,East,61,-8.199999999999989,-8.16,0.34,-7.83,109.7,117.8,-8.1,101.0,0.56
Oklahoma City Thunder,47,15,0.758,0.0,119.2,107.9,10.79,West,62,11.299999999999997,11.29,-0.5,10.79,118.7,107.4,11.3,99.4,0.599
San Antonio Spurs,43,17,0.717,3.0,118.0,111.8,6.17,West,60,6.200000000000003,6.18,-0.02,6.17,117.6,111.4,6.2,100.2,0.588
Houston Rockets,38,22,0.633,8.0,114.7,109.4,4.77,West,60,5.299999999999997,5.32,-0.55,4.77,118.1,112.7,5.4,95.9,0.572
Minnesota Timberwolves,38,23,0.623,8.5,119.1,114.6,3.8,West,61,4.5,4.56,-0.76,3.8,117.7,113.2,4.5,100.7,0.596
Denver Nuggets,38,24,0.613,9.0,120.5,116.1,3.77,West,62,4.400000000000006,4.35,-0.59,3.77,121.6,117.2,4.4,97.9,0.612
Los Angeles Lakers,36,24,0.6,10.0,115.9,115.5,0.21,West,60,0.4000000000000057,0.47,-0.26,0.21,117.7,117.2,0.5,98.5,0.607
Phoenix Suns,34,26,0.567,12.0,112.1,111.4,1.18,West,60,0.6999999999999886,0.77,0.42,1.18,114.6,113.9,0.7,97.3,0.566
Golden State Warriors,31,30,0.508,15.5,115.3,114.1,1.42,West,61,1.2000000000000028,1.26,0.16,1.42,115.3,114.0,1.3,99.7,0.586
Los Angeles Clippers,29,31,0.483,17.0,112.1,112.1,0.31,West,60,0.0,0.0,0.31,0.31,116.1,116.1,0.0,96.1,0.6
Portland Trail Blazers,29,33,0.468,18.0,115.2,118.4,-2.19,West,62,-3.200000000000003,-3.11,0.93,-2.19,113.7,116.8,-3.1,101.0,0.567
Memphis Grizzlies,23,36,0.39,22.5,115.7,117.7,-2.38,West,59,-2.0,-1.97,-0.42,-2.38,113.8,115.8,-2.0,101.3,0.573
Dallas Mavericks,21,39,0.35,25.0,113.9,117.7,-3.94,West,60,-3.799999999999997,-3.77,-0.18,-3.94,111.0,114.7,-3.7,101.7,0.566
New Orleans Pelicans,19,43,0.306,28.0,115.1,120.4,-4.95,West,62,-5.300000000000011,-5.27,0.33,-4.95,113.9,119.2,-5.3,100.2,0.566
Utah Jazz,18,43,0.295,28.5,117.9,125.8,-7.31,West,61,-7.8999999999999915,-7.9,0.59,-7.31,114.6,122.3,-7.7,101.8,0.579
Sacramento Kings,14,48,0.226,33.0,110.3,121.2,-9.91,West,62,-10.900000000000006,-10.94,1.03,-9.91,110.3,121.2,-10.9,99.5,0.556
