Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,TS%
Oklahoma City Thunder,11.29,-0.5,10.79,118.7,107.4,11.3,99.4,0.599
Boston Celtics,7.92,-0.9,7.02,120.9,112.6,8.3,94.7,0.58
Detroit Pistons,7.92,-0.52,7.39,116.8,108.9,7.9,99.9,0.575
San Antonio Spurs,6.18,-0.02,6.17,117.6,111.4,6.2,100.2,0.588
New York Knicks,6.08,-0.28,5.81,119.4,113.2,6.2,97.7,0.586
Houston Rockets,5.32,-0.55,4.77,118.1,112.7,5.4,95.9,0.572
Minnesota Timberwolves,4.56,-0.76,3.8,117.7,113.2,4.5,100.7,0.596
Denver Nuggets,4.35,-0.59,3.77,121.6,117.2,4.4,97.9,0.612
Cleveland Cavaliers,4.24,-0.03,4.21,118.2,114.0,4.2,100.3,0.589
Charlotte Hornets,3.02,-0.58,2.43,118.6,115.5,3.1,97.4,0.588
Miami Heat,2.85,0.21,3.06,115.1,112.4,2.7,103.9,0.572
Toronto Raptors,1.97,-0.2,1.77,114.9,112.9,2.0,98.5,0.573
Golden State Warriors,1.26,0.16,1.42,115.3,114.0,1.3,99.7,0.586
Phoenix Suns,0.77,0.42,1.18,114.6,113.9,0.7,97.3,0.566
Los Angeles Lakers,0.47,-0.26,0.21,117.7,117.2,0.5,98.5,0.607
Philadelphia 76ers,0.47,-0.06,0.41,115.9,115.5,0.4,99.0,0.574
Orlando Magic,0.14,0.42,0.55,114.2,114.1,0.1,99.4,0.571
Los Angeles Clippers,0.0,0.31,0.31,116.1,116.1,0.0,96.1,0.6
Atlanta Hawks,0.02,0.06,0.08,114.5,114.5,0.0,102.2,0.579
Memphis Grizzlies,-1.97,-0.42,-2.38,113.8,115.8,-2.0,101.3,0.573
Portland Trail Blazers,-3.11,0.93,-2.19,113.7,116.8,-3.1,101.0,0.567
Dallas Mavericks,-3.77,-0.18,-3.94,111.0,114.7,-3.7,101.7,0.566
Chicago Bulls,-4.26,0.12,-4.14,113.5,117.7,-4.2,101.7,0.584
Milwaukee Bucks,-4.22,0.22,-4.0,113.3,117.6,-4.3,97.8,0.589
New Orleans Pelicans,-5.27,0.33,-4.95,113.9,119.2,-5.3,100.2,0.566
Utah Jazz,-7.9,0.59,-7.31,114.6,122.3,-7.7,101.8,0.579
Indiana Pacers,-8.16,0.34,-7.83,109.7,117.8,-8.1,101.0,0.56
Brooklyn Nets,-8.48,0.52,-7.97,110.2,119.0,-8.8,96.5,0.563
Washington Wizards,-10.73,0.16,-10.57,110.7,121.3,-10.6,101.1,0.562
Sacramento Kings,-10.94,1.03,-9.91,110.3,121.2,-10.9,99.5,0.556
League Average,0.0,0.0,0.0,115.3,115.3,,99.4,0.579
